model,score,rating_q025,rating_q975,CI,avg_tokens,date
uf_llama3.1_instruct_dpo_2048_trible_ta_chosen,75.69,73.91,77.58,"(-1.78, +1.89)",586.0,2024-09-28
ta_llama3_instruct_70B_zero3_dpo_list_bsz1_trible_debug_v1_1000,74.53,72.7,76.32,"(-1.83, +1.79)",625.0,2024-09-28
ta_llama3_instruct_dpo_list_bsz1_trible_debug_v6,73.91,72.44,76.05,"(-1.47, +2.14)",652.0,2024-09-28
ta_llama3_instruct_70B_zero3_dpo_list_bsz1_trible_debug_v1,73.42,71.64,75.6,"(-1.78, +2.18)",613.0,2024-09-28
ta_llama3_instruct_70B_zero3_dpo_list_bsz1_trible_debug_v1_1500,73.31,71.39,74.59,"(-1.92, +1.28)",631.0,2024-09-28
ta_llama3_instruct_dpo_list_bsz1_trible_debug_v11,73.08,71.12,74.6,"(-1.96, +1.52)",649.0,2024-09-28
ta_chosen_llama3.1_instruct_dpo_2048_v2_1000,72.86,71.48,74.8,"(-1.38, +1.94)",638.0,2024-09-28
ta_llama3_instruct_dpo_list_bsz1_trible_debug_v3,72.57,70.28,74.67,"(-2.29, +2.10)",658.0,2024-09-28
ta_llama3_instruct_dpo_list_bsz1_trible_debug_v1-1500,72.5,70.34,74.65,"(-2.16, +2.15)",639.0,2024-09-28
ta_rejected_noneed_length_llama3.1_instruct_2048_default_template_v2_1500,72.22,70.31,74.2,"(-1.91, +1.98)",663.0,2024-09-28
ta_llama3_instruct_dpo_list_bsz1_trible_debug_v3_1500,72.09,70.05,74.17,"(-2.04, +2.08)",629.0,2024-09-28
ta_llama3_instruct_dpo_list_bsz1_trible_debug_v2-1500,71.91,70.23,73.98,"(-1.68, +2.07)",647.0,2024-09-28
ta_rejected_llama3.1_instruct_dpo_2048,71.72,69.68,73.63,"(-2.04, +1.91)",647.0,2024-09-28
ta_chosen_llama3.1_instruct_dpo_2048,71.68,69.81,74.26,"(-1.87, +2.58)",656.0,2024-09-28
ta_rejected_llama3.1_instruct_dpo_2048_default_template-1500,71.63,69.91,73.68,"(-1.72, +2.05)",647.0,2024-09-28
uf_llama3.1_instruct_dpo_2048_trible_ta_rejected,71.33,69.24,73.1,"(-2.09, +1.77)",618.0,2024-09-28
ta_chosen_llama3.1_instruct_dpo_2048_v2,71.19,69.2,73.13,"(-1.99, +1.94)",613.0,2024-09-28
ta_llama3_instruct_dpo_list_bsz1_trible_debug_v1,71.11,68.88,72.46,"(-2.23, +1.35)",642.0,2024-09-28
ta_rejected_llama3.1_instruct_dpo_2048_default_template-1000,70.91,69.49,73.03,"(-1.42, +2.12)",638.0,2024-09-28
ta_rejected_llama3.1_instruct_2048_default_template_v2-1000,70.69,68.78,72.37,"(-1.91, +1.68)",629.0,2024-09-28
ta_rejected_noneed_length_llama3.1_instruct_2048_default_template_v2,70.12,68.29,72.08,"(-1.83, +1.96)",660.0,2024-09-28
ta_llama3_instruct_dpo_list_bsz1_trible_debug_v4,69.84,67.08,71.85,"(-2.76, +2.01)",633.0,2024-09-28
ta_rejected_llama3.1_instruct_2048_default_template_v2,68.63,66.99,70.57,"(-1.64, +1.94)",640.0,2024-09-28
ta_rejected_llama3.1_instruct_dpo_2048_default_template-500,67.66,65.29,69.33,"(-2.37, +1.67)",667.0,2024-09-28
ta_llama3_instruct_dpo_list_bsz1_trible_debug_v15_1500,66.74,63.78,68.86,"(-2.96, +2.12)",646.0,2024-09-28
ta_rejected_llama3.1_instruct_2048_default_template_v2-500,65.95,63.43,67.69,"(-2.52, +1.74)",641.0,2024-09-28
ta_llama3_instruct_dpo_list_bsz1_trible_debug_v5,64.41,62.5,66.75,"(-1.91, +2.34)",631.0,2024-09-28
ta_llama3_instruct_dpo_list_bsz1_trible_debug_v15,64.18,61.68,66.76,"(-2.50, +2.58)",643.0,2024-09-28
ta_llama3_instruct_dpo_list_bsz1_trible_debug_v5_1500,63.61,61.49,65.97,"(-2.12, +2.36)",628.0,2024-09-28
gemma-2-9b-it,61.52,59.76,63.66,"(-1.76, +2.14)",589.0,2024-09-28
