model,score,rating_q025,rating_q975,CI,avg_tokens,date
Meta-Llama-3.1-70B-Instruct,67.21,64.88,69.52,"(-2.33, +2.31)",677.0,2024-11-15
ta_llama3_instruct_70B_zero3_dpo_list_bsz1_trible_debug_v1_1500,63.41,61.53,65.85,"(-1.88, +2.44)",631.0,2024-11-15
magpie_dpo_v0.1_8b_2048_default_template_dpo_glanchatv2.1_ckpt9918_checkpoint-1529,61.9,59.47,64.71,"(-2.43, +2.81)",714.0,2024-11-15
ta_llama3_instruct_70B_zero3_dpo_list_bsz1_trible_debug_v1_1000,61.71,59.56,64.25,"(-2.15, +2.54)",625.0,2024-11-15
magpie_dpo_v0.1_8b_2048_default_template_dpo_glanchatv2.1_ckpt9918_dpo_bsz64_checkpoint-3059,61.37,58.88,63.9,"(-2.49, +2.53)",689.0,2024-11-15
magpie_dpo_v0.1_8b_2048_default_template_dpo_glanchatv2.1_ckpt9918_dpo_bsz256_checkpoint-764,59.97,57.28,62.6,"(-2.69, +2.63)",732.0,2024-11-15
ta_llama3_instruct_70B_zero3_dpo_list_bsz1_trible_debug_v1,59.58,57.6,61.48,"(-1.98, +1.90)",613.0,2024-11-15
magpie_dpo_v0.1_8b_2048_default_template_dpo_glanchatv2.1_ckpt9918_dpo_lr5e7_checkpoint-1529,57.23,54.83,59.61,"(-2.40, +2.38)",677.0,2024-11-15
MagpieLM-8B-Chat-v0.1,52.77,50.74,55.18,"(-2.03, +2.41)",703.0,2024-11-15
magpie_dpo_v0.1_8b_2048_default_template_dpo_ckpt536_checkpoint-1529,50.64,47.87,53.3,"(-2.77, +2.66)",698.0,2024-11-15
gpt-4-0314,50.0,50.0,50.0,"(-0.00, +0.00)",423.0,2024-11-15
glan_dpo_v0.1_8b_2048_default_template_dpo_glanchatv2.1_ckpt9918_checkpoint-584,49.51,47.13,51.75,"(-2.38, +2.24)",736.0,2024-11-15
glanchat_v2.1_8b_2048_default_template_checkpoint-9918,46.56,44.09,49.48,"(-2.47, +2.92)",693.0,2024-11-15
magpie_dpo_v0.1_8b_2048_default_template_dpo_glanchatv2.1_ckpt9918_dpo_lr1e6_checkpoint-1529,46.47,44.14,48.62,"(-2.33, +2.15)",695.0,2024-11-15
glanchat_v2.1_8b_2048_default_template,45.5,42.88,47.62,"(-2.62, +2.12)",679.0,2024-11-15
glanchat_v2_8b_2048_default_template_11400,44.93,43.2,47.28,"(-1.73, +2.35)",680.0,2024-11-15
wildchat_v2_8b_2048_default_template_fullft_lr5e6_e5_9485,44.19,41.93,47.05,"(-2.26, +2.86)",684.0,2024-11-15
glanchat_v2_8b_2048_default_template_fullft_lr5e6_e3,42.51,40.43,44.4,"(-2.08, +1.89)",685.0,2024-11-15
Qwen2-72B-Instruct,42.47,40.31,44.49,"(-2.16, +2.02)",518.0,2024-11-15
glanchat_v2_glan_v2_8b_2048_default_template_fullft_lr5e6_e3_fx_glan_9500,41.95,39.6,44.72,"(-2.35, +2.77)",674.0,2024-11-15
gemma-2-9b-it,41.13,38.63,42.77,"(-2.50, +1.64)",589.0,2024-11-15
glan_v2_glanchat_v2_8b_2048_default_template,39.35,36.87,41.44,"(-2.48, +2.09)",676.0,2024-11-15
Yi-1.5-9B-Chat,38.88,36.29,41.0,"(-2.59, +2.12)",843.0,2024-11-15
ta_llama3_instruct_dpo_list_bsz1_trible_debug_v9,37.84,35.67,40.78,"(-2.17, +2.94)",622.0,2024-11-15
wildchat_v2_8b_2048_default_template_fullft_lr5e6_3794,37.59,35.66,39.61,"(-1.93, +2.02)",682.0,2024-11-15
Meta-Llama-3.1-8B-Instruct,37.09,35.04,39.26,"(-2.05, +2.17)",731.0,2024-11-15
ta_llama3_instruct_dpo_list_bsz1_trible_debug_v10,36.64,33.77,38.83,"(-2.87, +2.19)",630.0,2024-11-15
ta_llama3_instruct_dpo_list_bsz1_trible_debug_v4,35.9,33.57,37.94,"(-2.33, +2.04)",638.0,2024-11-15
Phi-3-small-8k-instruct,35.73,33.42,37.8,"(-2.31, +2.07)",534.0,2024-11-15
ta_rejected_llama3.1_instruct_dpo_2048_default_template-500,35.22,33.03,37.35,"(-2.19, +2.13)",657.0,2024-11-15
ta_llama3_instruct_dpo_list_bsz1_trible_debug_v1_mi300,35.1,32.88,37.0,"(-2.22, +1.90)",637.0,2024-11-15
uf_llama3.1_instruct_dpo_2048_job,34.73,32.8,36.6,"(-1.93, +1.87)",631.0,2024-11-15
ta_llama3_instruct_dpo_list_bsz1_trible_debug_v6,34.66,32.44,36.44,"(-2.22, +1.78)",642.0,2024-11-15
ta_llama3_instruct_dpo_list_bsz1_trible_debug_v5,34.39,31.84,36.15,"(-2.55, +1.76)",636.0,2024-11-15
ta_llama3_instruct_dpo_list_bsz1_trible_debug_v11,34.22,32.16,36.86,"(-2.06, +2.64)",637.0,2024-11-15
ta_llama3_instruct_dpo_list_bsz1_trible_debug_v1,34.15,31.7,36.35,"(-2.45, +2.20)",641.0,2024-11-15
ta_llama3_instruct_dpo_list_bsz1_trible_debug_v5_1500,34.08,32.1,36.39,"(-1.98, +2.31)",634.0,2024-11-15
ta_llama3_instruct_dpo_list_bsz1_trible_debug_v2-1500,33.88,31.93,36.14,"(-1.95, +2.26)",623.0,2024-11-15
ta_llama3_instruct_dpo_list_bsz1_trible_debug_v15_1500,33.84,31.43,36.3,"(-2.41, +2.46)",643.0,2024-11-15
ta_llama3_instruct_dpo_list_bsz1_trible_debug_v15,33.81,31.49,35.88,"(-2.32, +2.07)",635.0,2024-11-15
uf_llama3.1_instruct_dpo_2048_trible,33.45,31.65,35.54,"(-1.80, +2.09)",626.0,2024-11-15
ta_llama3_instruct_dpo_list_bsz1_trible_debug_v1-1500,32.86,30.59,35.38,"(-2.27, +2.52)",641.0,2024-11-15
ta_llama3_instruct_dpo_list_bsz1_trible_debug_v4_1500,32.75,30.26,34.9,"(-2.49, +2.15)",640.0,2024-11-15
ta_rejected_llama3.1_instruct_2048_default_template_v2-500,32.58,30.6,34.75,"(-1.98, +2.17)",636.0,2024-11-15
Qwen2-7B-Instruct_tapo_v2_1500,32.4,29.96,34.62,"(-2.44, +2.22)",598.0,2024-11-15
wildchat_v2_8b_2048_default_template_3796,31.98,30.14,33.76,"(-1.84, +1.78)",787.0,2024-11-15
ta_rejected_llama3.1_instruct_2048_default_template_v2-1000,31.5,29.42,33.43,"(-2.08, +1.93)",612.0,2024-11-15
ta_rejected_noneed_length_llama3.1_instruct_2048_default_template_v2,31.14,29.35,33.57,"(-1.79, +2.43)",675.0,2024-11-15
uf_llama3.1_instruct_dpo_2048_trible_ta_rejected,31.08,28.77,33.32,"(-2.31, +2.24)",613.0,2024-11-15
ta_rejected_noneed_length_llama3.1_instruct_2048_default_template_v2_1500,30.47,28.55,32.68,"(-1.92, +2.21)",671.0,2024-11-15
glanchat_v2.1_8b_2048_default_template_8500_dpo_checkpoint-2756,30.25,28.64,32.62,"(-1.61, +2.37)",1057.0,2024-11-15
Qwen2-7B-Instruct_tapo_v2,30.16,28.37,32.09,"(-1.79, +1.93)",599.0,2024-11-15
ta_rejected_llama3.1_instruct_2048_default_template_v2,29.86,28.02,31.93,"(-1.84, +2.07)",614.0,2024-11-15
wildchat_v1_8b_2048_default_template,29.5,27.67,31.27,"(-1.83, +1.77)",756.0,2024-11-15
uf_llama3.1_instruct_dpo_2048_trible_ta_chosen,29.4,27.54,31.74,"(-1.86, +2.34)",579.0,2024-11-15
magpie_8b_2048_default_template_checkpoint-536,28.96,26.85,30.92,"(-2.11, +1.96)",537.0,2024-11-15
Yi-34B-Chat,28.84,26.59,30.88,"(-2.25, +2.04)",753.0,2024-11-15
wildchat_v2_8b_2048_default_template_full_sft,28.63,26.84,30.66,"(-1.79, +2.03)",669.0,2024-11-15
ta_rejected_llama3.1_instruct_dpo_2048_default_template-1000,28.45,25.46,32.54,"(-2.99, +4.09)",636.0,2024-11-15
ta_rejected_llama3.1_instruct_dpo_2048,28.36,26.28,30.64,"(-2.08, +2.28)",646.0,2024-11-15
wildchat_v2_8b_2048_default_template_fullft_e5_9485,28.25,26.17,30.34,"(-2.08, +2.09)",699.0,2024-11-15
magpie_8b_2048_default_template_dpo_checkpoint-2756,28.0,26.18,30.23,"(-1.82, +2.23)",1315.0,2024-11-15
magpie_8b_2048_default_template_checkpoint-15468,27.7,25.26,29.7,"(-2.44, +2.00)",544.0,2024-11-15
Qwen2-7B-Instruct,27.68,25.88,29.89,"(-1.80, +2.21)",579.0,2024-11-15
ta_chosen_llama3.1_instruct_dpo_2048_v2_1000,27.53,25.27,29.97,"(-2.26, +2.44)",641.0,2024-11-15
ta_rejected_llama3.1_instruct_dpo_2048_default_template-1500,27.29,25.17,29.54,"(-2.12, +2.25)",632.0,2024-11-15
wildchat_v1_8b_2048_default_template_4000,27.23,25.04,29.52,"(-2.19, +2.29)",742.0,2024-11-15
magpie_8b_2048_default_template_checkpoint-8500,26.8,25.16,28.86,"(-1.64, +2.06)",537.0,2024-11-15
magpie_dpo_v0.1_8b_2048_default_template_dpo_glanchatv2.1_ckpt9918_dpo_lr2e6_checkpoint-1529,26.68,24.88,28.87,"(-1.80, +2.19)",1002.0,2024-11-15
MagpieLM-8B-SFT-v0.1,26.18,24.2,28.13,"(-1.98, +1.95)",586.0,2024-11-15
ta_llama3_instruct_dpo_list_bsz1_trible_debug_v3,26.12,23.96,28.34,"(-2.16, +2.22)",660.0,2024-11-15
ta_Yi-1.5-9B-Chat_tapo_v2_1000,26.09,3.7,49.22,"(-22.39, +23.13)",581.0,2024-11-15
ta_chosen_llama3.1_instruct_dpo_2048,26.07,24.24,27.7,"(-1.83, +1.63)",662.0,2024-11-15
ta_chosen_llama3.1_instruct_dpo_2048_v2,26.04,24.07,27.96,"(-1.97, +1.92)",601.0,2024-11-15
MagpieLM-4B-Chat-v0.1,25.88,23.84,28.19,"(-2.04, +2.31)",789.0,2024-11-15
ta_llama3_instruct_dpo_list_bsz1_trible_debug_v3_1500,25.79,23.54,27.97,"(-2.25, +2.18)",640.0,2024-11-15
ta_rejected_Qwen2-7B-Instruct_2048_v2,25.3,23.7,27.26,"(-1.60, +1.96)",583.0,2024-11-15
Mistral-7B-Instruct-v0.3_tapo_v2_2000,24.89,22.32,26.94,"(-2.57, +2.05)",553.0,2024-11-15
Llama-3-8B-Magpie-Align-SFT-v0.1,23.71,22.01,25.51,"(-1.70, +1.80)",653.0,2024-11-15
Mistral-7B-Instruct-v0.3_tapo_v2_1500,23.62,20.85,25.33,"(-2.77, +1.71)",583.0,2024-11-15
Mistral-7B-Instruct-v0.3_tapo_v2_2124,23.1,21.02,25.29,"(-2.08, +2.19)",564.0,2024-11-15
Mistral-7B-Instruct-v0.3_ta_rejected_dpo_2048_v2_500,22.38,20.16,24.11,"(-2.22, +1.73)",544.0,2024-11-15
Mistral-7B-Instruct-v0.3_ta_rejected_dpo_2048_v2_1000,22.1,20.04,23.87,"(-2.06, +1.77)",535.0,2024-11-15
Mistral-7B-Instruct-v0.3_ta_rejected_dpo_2048_v2,20.83,19.0,22.73,"(-1.83, +1.90)",570.0,2024-11-15
Mistral-7B-Instruct-v0.3,17.13,15.58,18.77,"(-1.55, +1.64)",482.0,2024-11-15
tulu-2-dpo-70b,16.37,14.48,17.99,"(-1.89, +1.62)",660.0,2024-11-15
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_v5_1500,13.37,11.72,14.72,"(-1.65, +1.35)",668.0,2024-11-15
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_v9,12.1,10.78,13.41,"(-1.32, +1.31)",607.0,2024-11-15
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_v5,12.0,10.53,13.44,"(-1.47, +1.44)",574.0,2024-11-15
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_v12_1500,11.93,10.82,13.48,"(-1.11, +1.55)",639.0,2024-11-15
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_v10_1500,11.37,9.97,12.8,"(-1.40, +1.43)",625.0,2024-11-15
gemma-2-27b-it,11.36,10.04,12.59,"(-1.32, +1.23)",1662.0,2024-11-15
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_v4-1500,11.33,9.93,12.73,"(-1.40, +1.40)",589.0,2024-11-15
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_v12,11.02,9.77,12.16,"(-1.25, +1.14)",590.0,2024-11-15
tulu_v2_8b_default_template_dpo_list_bsz1_trible_debug_v9-1500,10.83,9.7,12.21,"(-1.13, +1.38)",598.0,2024-11-15
